"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","Band_1","Band_2","Band_3","Band_4","Band_5","lookupNum","issueYear","bandMetal_fromManufactureRecords","bandMetal_BACKFILLED","groupInit",
"1",3,"Returned","AY, IN",33,"90606","90700",95,0.0719,0.072,0.0716,"NA","NA",3390606,"NA","NA","AY",,
"NR",3,"Retained","AY",33,"94001","94010",10,0.0719,0.0721,0.0719,"NA","NA",3394001,"NA","NA","AY",,
"1",3,"Returned","AY, IN",33,"94801","94900",100,0.0719,0.0719,0.0715,"NA","NA",3394801,"NA","NA","AY",,
"1",3,"Returned","AY, IN",33,"95201","95300",100,0.0714,0.0714,0.0721,"NA","NA",3395201,"NA","NA","AY",,
"1",3,"Returned","AY, IN",34,"317","400",84,0.0721,0.0716,0.0719,"NA","NA",3400317,"88","AY","AY",,
"1",3,"Returned","AY, IN",34,"10386","10393",8,0.0718,0.0719,0.0719,"NA","NA",3410386,"88","AY","AY",,
"1",3,"Returned","AY, IN",34,"23296","23300",5,0.0719,0.072,0.072,"NA","NA",3423296,"90","AY","AY",,
"1",3,"Returned","AY, IN",34,"23301","23350",50,0.0722,0.0721,0.0722,"NA","NA",3423301,"90","AY","AY",,
"1",3,"Returned","AY, IN",34,"31505","31550",46,0.0722,0.0735,0.0722,"NA","NA",3431505,"90","AY","AY",,
"1",3,"Returned","AY, IN",34,"31852","31900",49,0.072,0.0724,0.0723,"NA","NA",3431852,"90","AY","AY",,
"1",3,"Returned","AY, IN",34,"38747","38750",4,0.0723,0.0722,0.072,"NA","NA",3438747,"90","AY","AY",,
"1",3,"Returned","AY, IN",34,"41011","41050",40,0.0722,0.0723,0.0722,"NA","NA",3441011,"90","AY","AY",,
"1",3,"Returned","AY, IN",34,"41051","41100",50,0.0723,0.0727,0.0723,"NA","NA",3441051,"90","AY","AY",,
"1",3,"Returned","AY, IN",34,"67651","67700",50,0.0711,0.0714,0.0714,"NA","NA",3467651,"NA","AY","AY",,
"NR",3,"Retained","IN",32,"23251","23270",10,0.1704,0.1709,0.1666,"NA","NA",3223251,"NA","NA","IN",,
"NR",3,"Retained",,32,"28301","28310",10,0.1508,0.1569,0.156,"NA","NA",3228301,"NA","NA","IN",,
"1",3,"Returned","AY, IN",32,"30456","30456",1,0.148,"NA","NA","NA","NA",3230456,"NA","NA","IN",,
"1",3,"Returned","AY, IN",32,"30701","30750",50,0.1496,0.1495,0.1484,"NA","NA",3230701,"NA","NA","IN",,
"1",3,"Returned","AY, IN",32,"31011","31050",40,0.1476,0.1493,0.1505,"NA","NA",3231011,"NA","NA","IN",,
"1",3,"Returned","AY, IN",32,"39551","39600",50,0.1671,0.1487,0.1626,"NA","NA",3239551,"NA","NA","IN",,
"1",3,"Returned","AY, IN",32,"39601","39650",50,0.1647,0.1649,0.1615,"NA","NA",3239601,"NA","NA","IN",,
