"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","Band_1","Band_2","Band_3","Band_4","Band_5","lookupNum"
"8",6,"Returned","ML","060","59027","59100",74,0.3467,0.346,0.347,"NA","NA","06059027"
"8",6,"Returned","ML","060","61137","61200",64,0.3567,0.3563,0.3571,"NA","NA","06061137"
"8",6,"Returned","ML","060","76553","76600",47,0.3475,0.3473,0.3488,"NA","NA","06076553"
"8",6,"Returned","ML","060","74076","74100",25,0.3502,0.3502,0.3495,"NA","NA","06074076"
"8",6,"Returned","ML","060","75292","75300",9,0.3455,0.3454,0.3458,"NA","NA","06075292"
"8",6,"Returned","ML","060","52341","52400",60,0.3493,0.3501,0.3504,"NA","NA","06052341"
"8",6,"Returned","AM","060","38464","38500",35,0.2398,0.2407,0.2401,"NA","NA","06038464"
"8",6,"Returned","AM","060","34985","35000",3,0.2361,0.2375,0.2366,"NA","NA","06034985"
"8",6,"Returned","AM","060","35616","35700",86,0.2395,0.2377,0.2393,"NA","NA","06035616"
"8",6,"Returned","AM","060","25660","25680",21,0.2378,0.238,0.239,"NA","NA","06025660"
"8",6,"Returned","AM","060","89801","89900",100,0.2319,0.2321,0.2308,"NA","NA","06089801"
"8",6,"Returned","AM","060","18302","18400",99,0.2375,0.236,0.2356,"NA","NA","06018302"
"8",6,"Returned","AM","060","22649","22670",22,0.2364,0.2379,0.2373,"NA","NA","06022649"
"8",6,"Returned","AM","060","24541","24550",10,0.2384,0.2386,0.2389,"NA","NA","06024541"
"8",6,"Returned","AM","060","42501","42700",200,0.2405,0.2407,0.2405,"NA","NA","06042501"
"8",6,"Returned","AM","061","36789","36800",12,0.6046,0.603,0.6012,"NA","NA","06136789"
"8",6,"Returned","AM","061","26902","26945",24,0.2345,0.2349,0.2341,"NA","NA","06126902"
"8",6,"Returned","AM","061","02216","02249",34,0.2348,0.2332,0.2349,"NA","NA","06102216"
"8",6,"Returned","AM","061","10840","10900",60,0.236,0.2366,0.2359,"NA","NA","06110840"
"8",6,"Returned","AM","061","07782","07794",8,0.2359,0.2349,0.2355,"NA","NA","06107782"
