"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","measuredMass","lookupNum","issueYear","bandMetal_fromManufactureRecords","bandMetal_BACKFILLED","groupInit","groupSD","groupMedian","type","typeMedian","typeMean","typeSD","sizeMetal","sizeMetalMedian","sizeMetalMean","sizeMetalSD"
"NR",1,"Retained","AY",16,62001,62010,10,0.0435,1662001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,67904,68000,97,0.0433,1667904,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,68001,68010,10,0.0436,1668001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,69517,69600,84,0.0439,1669517,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,71735,71797,63,0.0437,1671735,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,72001,72010,10,0.0435,1672001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,75461,75500,40,0.043,1675461,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,78001,78010,10,0.043,1678001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,80284,80299,16,0.0436,1680284,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,80301,80400,100,0.0439,1680301,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,81801,82000,200,0.0433,1681801,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,84001,84010,10,0.0434,1684001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,88001,88010,10,0.0436,1688001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,92001,92010,10,0.0434,1692001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,92552,92600,49,0.0432,1692552,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,94001,94010,10,0.0439,1694001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,96001,96010,10,0.043,1696001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,98001,98010,10,0.0438,1698001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,2101,2200,100,0.0394,1602101,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,35060,35100,41,0.0384,1635060,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,62001,62010,10,0.0436,1662001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,67904,68000,97,0.0434,1667904,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,68001,68010,10,0.0439,1668001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,69517,69600,84,0.0436,1669517,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,71735,71797,63,0.0432,1671735,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,72001,72010,10,0.0434,1672001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,75461,75500,40,0.0434,1675461,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,78001,78010,10,0.0436,1678001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,80284,80299,16,0.0429,1680284,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,80301,80400,100,0.0428,1680301,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,81801,82000,200,0.044,1681801,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,84001,84010,10,0.0435,1684001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,88001,88010,10,0.0439,1688001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,92001,92010,10,0.0437,1692001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
